code,localizate,name
YOW,Ottawa-Canada,Ottawa McDonald-Cartier International Airport
DCA,Washington D.C-Estados Unidos,Aeropuerto Nacional Ronald Reagan
MEX,Mexico DF-Mexico,Aeropuerto Internacional Benito Juarez
BZE,Ciudad de Belice-Belice,Aeropuerto Internacional Philip SW Goldson
SAL,San Salvador-El Salvador,Aeropuerto Internacional de El Salvador
GUA,Ciudad de Guatemala-Guatemala,Aeropuerto Internacional La Aurora
TGU,Tegucipalca-Honduras,Aeropuerto Internacional Toncontin
MGA,Managua - Nicaragua,Aeropuerto Internacional Augusto C.Sandin
PTY,Panama-Panama,Aeropuerto Internacional de Tocumen
EZE,Buenos Aires-Argentina,Aeropuerto Internacional Ministro Pistarini
SER,Sucre-Bolivia,Aeropuerto Internacional de Alcantara
BSB,Brasilia-Brasil,Aeropurto Internacional de Brasilia
BOG,Bogota-Colombia,Aeropuerto Internacional El Dorado
UIO,Quito-Ecuador,Aeropuerto Internacional Mariscal Sucre
ASU,Asuncion-Paragua,Aeropuerto Internacional Silvio Pettirossi
LIM,Lima-Peru,Aeropuerto Internacional Jorge Chavez
PBM,Parabarimo-Surinam,Aeropuerto Internacional Johan Adolf Pengel
POS,Puerto España-Trinidad y Tobago,Aeropuerto Internacional de Piarco
MVD,Montevideo -Uruguay,Aeropuerto Internacional de Carrasco
CCS,Caracas-Venezuela,Aeropuerto Internacional de Maiquetia Simon Bolivar
ANU,Saint John-Antigua y Barbuda,Aeropuerto Internacional V. C. Bird
NAS,Nasáu-Bahamas,Aeropuerto Internacional Lynden Pindling
BGI,Bridgetown-Barbados,Aeropuerto Internacional Grantley Adams
HAV,La Habana-Cuba,Aeropuerto Internacional José Martí
DOM,Rosseau-Dominica,Aeropuerto Douglas–Charles
GND,Saint George-Granada,Aeropuerto Internacional Maurice Bishop
GEO,Georgetown- Guyana,Aeropuerto Internacional Cheddi Jagan
PAP,Puerto Principe-Haití,Aeropuerto Internacional Toussaint Louverture
KIN,Kingston-Jamaica,Aeropuerto Internacional Norman Manley
SDQ,Santo Domingo-Republica Dominicana,Aeropuerto Internacional de Las Américas
SKB,Basseterre-San Cristobal y Nieves,Aeropuerto Internacional Robert L. Bradshaw
SVD,Kingstown-San Vicente y las Granadinas,Aeropuerto E. T. Joshua
SLU,Castries-Santa Lucia,Aeropuerto George F. L. Charles
SCL,Santiago de Chile-Chile,Aeropuerto Internacional Arturo Merino Benítez
